iter	Passed	Remaining
0	127	127801
1	129	64598
2	131	43560
3	132	33055
4	134	26717
5	135	22504
6	139	19769
7	141	17559
8	143	15763
9	144	14328
10	146	13143
11	147	12158
12	149	11358
13	153	10813
14	156	10253
15	157	9713
16	159	9227
17	161	8790
18	162	8405
19	164	8055
20	166	7784
21	170	7588
22	172	7329
23	174	7085
24	175	6853
25	177	6645
26	180	6492
27	182	6340
28	185	6216
29	187	6054
30	189	5910
31	190	5772
32	192	5645
33	197	5622
34	199	5513
35	201	5401
36	203	5288
37	204	5180
38	206	5085
39	208	5007
40	211	4953
41	213	4872
42	215	4795
43	217	4719
44	219	4653
45	220	4578
46	226	4586
47	227	4521
48	229	4455
49	231	4393
50	233	4341
51	234	4280
52	239	4273
53	242	4242
54	243	4188
55	245	4137
56	246	4086
57	248	4039
58	250	3994
59	254	3979
60	256	3952
61	258	3913
62	260	3873
63	262	3834
64	264	3800
65	266	3767
66	268	3744
67	271	3715
68	273	3687
69	274	3653
70	276	3619
71	278	3587
72	280	3560
73	283	3547
74	285	3526
75	288	3501
76	289	3472
77	291	3441
78	292	3415
79	294	3387
80	296	3366
81	300	3360
82	301	3334
83	303	3312
84	305	3289
85	307	3265
86	309	3245
87	311	3223
88	313	3211
89	316	3195
90	317	3175
91	319	3152
92	321	3132
93	322	3109
94	324	3090
95	326	3077
96	328	3061
97	330	3044
98	332	3026
99	334	3007
100	335	2988
101	337	2974
102	341	2976
103	344	2964
104	345	2947
105	347	2929
106	348	2912
107	350	2895
108	352	2880
109	354	2870
110	357	2865
111	360	2855
112	362	2842
113	363	2827
114	365	2812
115	367	2800
116	368	2784
117	370	2771
118	373	2763
119	376	2758
120	377	2744
121	379	2728
122	380	2715
123	382	2703
124	384	2692
125	387	2690
126	389	2680
127	391	2667
128	393	2654
129	394	2642
130	396	2628
131	398	2618
132	400	2610
133	403	2606
134	405	2595
135	406	2584
136	408	2572
137	410	2561
138	411	2549
139	413	2540
140	415	2532
141	417	2522
142	419	2513
143	421	2503
144	422	2493
145	424	2483
146	426	2472
147	428	2465
148	432	2471
149	436	2471
150	439	2468
151	441	2462
152	444	2460
153	447	2457
154	449	2448
155	450	2439
156	452	2430
157	454	2420
158	455	2410
159	457	2400
160	458	2390
161	461	2387
162	463	2377
163	464	2369
164	466	2361
165	468	2353
166	470	2349
167	473	2342
168	476	2340
169	478	2333
170	479	2327
171	481	2320
172	483	2312
173	486	2307
174	490	2314
175	492	2307
176	494	2299
177	496	2292
178	498	2285
179	500	2281
180	503	2279
181	507	2280
182	509	2275
183	511	2268
184	513	2261
185	515	2254
186	516	2247
187	521	2250
188	524	2248
189	525	2242
190	528	2236
191	529	2229
192	531	2224
193	534	2221
194	536	2215
195	540	2216
196	544	2217
197	546	2214
198	550	2215
199	552	2209
200	554	2203
201	556	2197
202	557	2190
203	559	2184
204	566	2197
205	569	2195
206	571	2189
207	573	2183
208	575	2176
209	581	2187
210	583	2182
211	585	2176
212	587	2170
213	589	2164
214	593	2167
215	596	2164
216	597	2157
217	599	2150
218	602	2148
219	604	2142
220	606	2138
221	609	2135
222	611	2131
223	613	2126
224	615	2120
225	617	2116
226	620	2111
227	623	2109
228	625	2107
229	627	2101
230	629	2095
231	631	2089
232	633	2083
233	635	2079
234	637	2076
235	640	2074
236	642	2068
237	644	2062
238	645	2056
239	647	2051
240	650	2049
241	654	2049
242	656	2045
243	658	2039
244	660	2034
245	661	2028
246	663	2021
247	665	2016
248	667	2012
249	670	2010
250	671	2005
251	673	2000
252	675	1994
253	677	1989
254	679	1984
255	683	1985
256	685	1981
257	687	1975
258	688	1970
259	690	1964
260	691	1959
261	693	1953
262	696	1951
263	699	1949
264	701	1944
265	702	1938
266	704	1933
267	706	1928
268	708	1925
269	710	1920
270	713	1919
271	715	1913
272	716	1908
273	718	1903
274	720	1898
275	722	1894
276	723	1889
277	726	1885
278	728	1882
279	730	1877
280	731	1872
281	733	1868
282	735	1863
283	737	1858
284	739	1854
285	741	1851
286	743	1847
287	745	1842
288	747	1837
289	748	1833
290	750	1828
291	752	1823
292	756	1825
293	758	1821
294	760	1817
295	762	1812
296	763	1807
297	765	1802
298	767	1798
299	769	1796
300	771	1792
301	773	1788
302	775	1783
303	777	1779
304	778	1774
305	780	1770
306	783	1767
307	785	1765
308	788	1764
309	790	1759
310	792	1755
311	794	1751
312	795	1746
313	799	1745
314	801	1743
315	803	1740
316	805	1736
317	807	1732
318	810	1730
319	812	1726
320	816	1726
321	818	1722
322	820	1719
323	822	1715
324	823	1710
325	826	1707
326	829	1707
327	831	1704
328	833	1700
329	835	1696
330	837	1692
331	839	1688
332	842	1687
333	846	1686
334	847	1683
335	850	1680
336	852	1676
337	854	1672
338	857	1672
339	863	1676
340	865	1672
341	867	1669
342	870	1666
343	873	1666
344	875	1663
345	878	1659
346	879	1655
347	881	1651
348	883	1648
349	886	1646
350	892	1649
351	894	1646
352	896	1643
353	898	1639
354	900	1636
355	905	1637
356	915	1648
357	924	1658
358	926	1654
359	928	1650
360	930	1647
361	933	1645
362	937	1645
363	940	1642
364	942	1639
365	944	1635
366	947	1634
367	951	1634
368	953	1631
369	955	1627
370	957	1623
371	959	1619
372	961	1615
373	964	1613
374	966	1611
375	968	1607
376	970	1603
377	972	1599
378	973	1595
379	976	1592
380	980	1592
381	982	1589
382	984	1585
383	986	1582
384	988	1578
385	990	1575
386	995	1576
387	997	1572
388	998	1568
389	1000	1565
390	1002	1561
391	1004	1557
392	1007	1556
393	1009	1553
394	1012	1550
395	1014	1546
396	1016	1543
397	1017	1539
398	1019	1536
399	1023	1535
400	1025	1531
401	1027	1528
402	1029	1525
403	1031	1521
404	1037	1524
405	1040	1522
406	1042	1519
407	1045	1516
408	1047	1513
409	1054	1517
410	1056	1514
411	1059	1512
412	1062	1509
413	1072	1517
414	1077	1519
415	1087	1526
416	1089	1523
417	1093	1522
418	1102	1528
419	1104	1525
420	1110	1527
421	1115	1528
422	1118	1525
423	1120	1522
424	1122	1519
425	1126	1517
426	1131	1518
427	1134	1515
428	1140	1517
429	1142	1514
430	1147	1514
431	1149	1511
432	1151	1508
433	1153	1504
434	1155	1501
435	1157	1497
436	1160	1495
437	1163	1492
438	1167	1491
439	1169	1488
440	1171	1485
441	1175	1483
442	1178	1481
443	1180	1478
444	1182	1474
445	1196	1486
446	1200	1484
447	1204	1484
448	1209	1484
449	1212	1482
450	1215	1479
451	1218	1477
452	1220	1473
453	1226	1475
454	1232	1476
455	1240	1479
456	1243	1477
457	1247	1476
458	1252	1476
459	1256	1474
460	1258	1471
461	1260	1467
462	1262	1464
463	1265	1461
464	1268	1459
465	1272	1458
466	1274	1455
467	1276	1451
468	1278	1447
469	1280	1444
470	1283	1441
471	1286	1439
472	1288	1436
473	1290	1432
474	1292	1428
475	1294	1425
476	1297	1422
477	1300	1420
478	1302	1416
479	1304	1413
480	1306	1409
481	1308	1405
482	1310	1402
483	1316	1403
484	1318	1400
485	1322	1398
486	1324	1395
487	1326	1391
488	1329	1388
489	1332	1386
490	1334	1383
491	1337	1381
492	1339	1377
493	1341	1374
494	1345	1372
495	1347	1369
496	1350	1366
497	1353	1364
498	1355	1360
499	1356	1356
500	1362	1356
501	1364	1353
502	1366	1350
503	1369	1347
504	1371	1344
505	1379	1346
506	1381	1343
507	1383	1339
508	1385	1336
509	1387	1332
510	1392	1332
511	1394	1329
512	1396	1325
513	1398	1322
514	1400	1318
515	1402	1315
516	1404	1312
517	1408	1310
518	1410	1306
519	1412	1303
520	1413	1300
521	1417	1298
522	1421	1296
523	1424	1294
524	1427	1291
525	1431	1289
526	1434	1287
527	1437	1284
528	1440	1282
529	1442	1279
530	1444	1276
531	1451	1277
532	1454	1274
533	1457	1271
534	1459	1268
535	1463	1266
536	1465	1263
537	1467	1260
538	1469	1256
539	1471	1253
540	1473	1249
541	1475	1246
542	1478	1244
543	1480	1240
544	1482	1237
545	1485	1234
546	1487	1231
